timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1543437487076,1444,getAllPersonRequestLoad,200,OK,Grupa wątków 2-24,text,true,,321,131,100,101,1444,0,1201
1543437487643,881,getAllPersonRequestLoad,200,OK,Grupa wątków 2-84,text,true,,321,131,100,101,881,0,634
1543437487671,861,getAllPersonRequestLoad,200,OK,Grupa wątków 2-52,text,true,,321,131,100,101,861,0,606
1543437487080,1461,getAllPersonRequestLoad,200,OK,Grupa wątków 2-65,text,true,,321,131,100,101,1461,0,1197
1543437487700,844,getAllPersonRequestLoad,200,OK,Grupa wątków 2-23,text,true,,321,131,100,101,844,0,577
1543437487705,844,getAllPersonRequestLoad,200,OK,Grupa wątków 2-98,text,true,,321,131,100,101,844,0,573
1543437488306,252,getAllPersonRequestLoad,200,OK,Grupa wątków 2-40,text,true,,321,131,100,101,252,0,1
1543437488308,253,getAllPersonRequestLoad,200,OK,Grupa wątków 2-61,text,true,,321,131,100,101,253,0,1
1543437488312,252,getAllPersonRequestLoad,200,OK,Grupa wątków 2-99,text,true,,321,131,100,101,252,0,1
1543437488315,252,getAllPersonRequestLoad,200,OK,Grupa wątków 2-34,text,true,,321,131,100,101,251,0,0
1543437487737,835,getAllPersonRequestLoad,200,OK,Grupa wątków 2-70,text,true,,321,131,100,101,835,0,583
1543437488319,256,getAllPersonRequestLoad,200,OK,Grupa wątków 2-33,text,true,,321,131,100,101,255,0,0
1543437488321,263,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,321,131,100,101,263,0,1
1543437488324,276,getAllPersonRequestLoad,200,OK,Grupa wątków 2-38,text,true,,321,131,100,101,275,0,1
1543437488327,280,getAllPersonRequestLoad,200,OK,Grupa wątków 2-22,text,true,,321,131,100,101,280,0,0
1543437488329,280,getAllPersonRequestLoad,200,OK,Grupa wątków 2-69,text,true,,321,131,100,101,279,0,1
1543437488333,278,getAllPersonRequestLoad,200,OK,Grupa wątków 2-97,text,true,,321,131,100,101,278,0,1
1543437488339,275,getAllPersonRequestLoad,200,OK,Grupa wątków 2-6,text,true,,321,131,100,101,274,0,1
1543437488343,271,getAllPersonRequestLoad,200,OK,Grupa wątków 2-31,text,true,,321,131,100,101,270,0,0
1543437488348,274,getAllPersonRequestLoad,200,OK,Grupa wątków 2-16,text,true,,321,131,100,101,274,0,1
1543437488350,273,getAllPersonRequestLoad,200,OK,Grupa wątków 2-83,text,true,,321,131,100,101,273,0,1
1543437488137,495,getAllPersonRequestLoad,200,OK,Grupa wątków 2-11,text,true,,321,131,100,101,495,0,215
1543437487798,834,getAllPersonRequestLoad,200,OK,Grupa wątków 2-49,text,true,,321,131,100,101,834,0,569
